SELECTION SORT

elementy	rosnacy	malejacy	staly	losowy	aksztaltny
1000	0.002813	0.002861	0.002850	0.003652	0.004496
10000	0.234930	0.249372	0.235193	0.236713	0.250988
25000	1.468383	1.558267	1.467513	1.472958	1.559346
50000	5.890801	6.235876	5.870797	5.881619	6.148873
100000	23.481020	24.943039	23.500791	23.557273	24.613772
150000	53.110213	56.423027	52.972653	53.067920	55.333231
250000	147.650098	156.900817	147.904960	147.525720	154.585424
350000	290.958910	309.129948	289.648062	289.150735	302.530541


INSERTION

elementy	rosnacy	malejacy	staly	losowy	aksztaltny
1000	0.000005	0.004801	0.000006	0.002418	0.003788
2000	0.000011	0.017088	0.000011	0.008464	0.013031
5000	0.000025	0.108183	0.000025	0.054444	0.084151
10000	0.000049	0.426912	0.000049	0.213350	0.319207
25000	0.000123	2.657707	0.000122	1.337120	2.004568
50000	0.000245	10.621078	0.000244	5.311755	7.970823
100000	0.000491	42.744844	0.000484	21.266753	32.005834
150000	0.000729	96.666343	0.000733	48.391696	72.312360
300000	0.001459	383.624633	0.001466	192.633721	289.426759
200000	0.000968	170.138238	0.000973	85.303381	127.759939


SHELL

elementy	rosnacy	malejacy	staly	losowy	aksztaltny
1000	0.000034	0.000122	0.000034	0.000270	0.000116
2000	0.000090	0.000242	0.000087	0.000672	0.000258
5000	0.000192	0.000520	0.000203	0.001534	0.000504
10000	0.000548	0.001411	0.000515	0.004246	0.001377
25000	0.001259	0.003517	0.001249	0.011937	0.003655
50000	0.002640	0.007051	0.002801	0.029440	0.008605
100000	0.005484	0.013517	0.005531	0.054898	0.014418
200000	0.011504	0.032922	0.011661	0.120470	0.031234
300000	0.018801	0.046648	0.018854	0.210159	0.045304
400000	0.026448	0.065406	0.027014	0.280104	0.063416
500000	0.035901	0.087716	0.035716	0.362733	0.083871
600000	0.048661	0.116607	0.047769	0.449961	0.111169
700000	0.053244	0.148234	0.059995	0.556420	0.128410
800000	0.066618	0.164187	0.066649	0.628876	0.150290
900000	0.078610	0.162294	0.085836	0.739574	0.167277
1000000	0.087828	0.178720	0.084804	0.858188	0.181810
1300000	0.113074	0.270732	0.113769	1.258194	0.241382
1500000	0.132623	0.309215	0.133885	1.400332	0.300693
2000000	0.180768	0.464413	0.180575	1.948536	0.452636
3000000	0.302721	0.612919	0.311652	3.146822	0.650869
4000000	0.415593	0.964111	0.429231	4.749916	0.948987
5000000	0.531172	1.190789	0.592577	5.976315	1.235135
10000000	1.168191	2.938428	1.482196	14.301199	2.923726


QUCIKSORT - KLUCZ Z LEWEJ

elementy	rosnacy	malejacy	staly	losowy	aksztaltny
1000	0.002415	0.002416	0.000062	0.000211	0.001229
2000	0.009299	0.009411	0.000150	0.000452	0.003936
5000	0.049377	0.049655	0.000336	0.000964	0.021076
10000	0.197438	0.197286	0.000711	0.002033	0.093060
25000	1.231776	1.137478	0.001929	0.005431	0.594446
50000	4.922253	4.729049	0.004069	0.011537	2.418499
100000	19.692038	19.307995	0.008620	0.024318	9.749105
150000	44.360937	43.736835	0.013663	0.036917	22.032499


QUCIKSORT - RANDOM

elementy	rosnacy	malejacy	staly	losowy	aksztaltny
1000	0.000124	0.000093	0.000060	0.000180	0.000121
5000	0.000778	0.000718	0.000505	0.001331	0.000717
10000	0.001816	0.001406	0.001134	0.003095	0.001568
25000	0.003589	0.002834	0.002183	0.006184	0.003114
50000	0.007910	0.006395	0.005485	0.015243	0.008402
100000	0.014590	0.012150	0.009544	0.025265	0.013190
200000	0.030216	0.024594	0.020052	0.051279	0.029984
300000	0.046287	0.038375	0.032547	0.076439	0.039090
500000	0.077996	0.067519	0.050659	0.128031	0.066876
800000	0.128186	0.112502	0.087137	0.203049	0.115545
1000000	0.166560	0.138016	0.106119	0.259216	0.141874
1300000	0.213576	0.191107	0.149997	0.332319	0.195267
1500000	0.248629	0.217488	0.169833	0.385163	0.213138
2000000	0.334573	0.286105	0.221197	0.516134	0.287091
3000000	0.531525	0.442176	0.353381	0.773071	0.445605
4000000	0.699965	0.609746	0.461475	1.041991	0.601027
5000000	0.918261	0.741042	0.630799	1.296373	0.764631
10000000	1.843105	1.548689	1.310673	2.607744	1.630813


HEAPSORT

elementy	rosnacy	malejacy	staly	losowy	aksztaltny
1000	0.000392	0.000359	0.000242	0.000453	0.000329
2000	0.000903	0.000841	0.000513	0.001021	0.000559
5000	0.001599	0.001590	0.001048	0.002034	0.001740
10000	0.002830	0.002709	0.001499	0.003710	0.003054
25000	0.006157	0.006160	0.004062	0.008690	0.007081
50000	0.011951	0.011718	0.008384	0.017828	0.014840
100000	0.024861	0.024519	0.017431	0.034231	0.026564
200000	0.052161	0.051335	0.037542	0.073440	0.057456
300000	0.080430	0.078520	0.059356	0.115697	0.082944
500000	0.137393	0.135546	0.108414	0.209739	0.143725
1000000	0.286920	0.282849	0.234667	0.469088	0.298518
1500000	0.441548	0.435897	0.378582	0.740252	0.460128
2000000	0.595620	0.588927	0.527152	1.034975	0.625351
3000000	0.913675	0.903819	0.837702	1.693790	0.966034
4000000	1.230731	1.224292	1.111257	2.370511	1.309959
5000000	1.556148	1.547656	1.510376	3.064546	1.660772
10000000	3.208918	3.223054	3.245579	6.752655	3.471984
